Year,State,Drivers_Male,Drivers_Male%,Drivers_Female,Drivers_Female%,Drivers_Total,Drivers_per_Vehicles,Residents,Residents_Male16+,Residents_Female16+,Residents_16+,Drivers_per_1000Residents,Drivers_per_1000Residents16+
2021,California,13781161,50.83,13331434,49.17,27112595,0.88,39237836,15652029,15844851,31496880,691,861
2021,Colorado,2136247,48.42,2275340,51.58,4411587,0.88,5812069,2384345,2333268,4717613,759,935
2021,Connecticut,1288277,49.43,1318119,50.57,2606396,0.95,3605597,1445070,1524169,2969239,723,878
2021,Delaware,412711,48.64,435793,51.36,848504,1.83,1003384,393790,425786,819576,846,1035
2021,Dist. of Col.,251467,49.21,259518,50.79,510985,1.53,670050,260163,294379,554542,763,921
2021,Florida,7961746,49.32,8182556,50.68,16144302,0.85,21781128,8774797,9218983,17993780,741,897
2021,Georgia,3669965,47.89,3993882,52.11,7663847,0.85,10799566,4137265,4440321,8577586,710,893
2021,Hawaii,466908,50.89,450556,49.11,917464,0.75,1441553,584865,584191,1169056,636,785
2021,Idaho,680815,50.68,662638,49.32,1343453,0.68,1900923,747086,740964,1488050,707,903
2021,Illinois,4129210,49.36,4235633,50.64,8364843,0.76,12671469,5006485,5201978,10208463,660,819
2021,Indiana,2273650,49.04,2362464,50.96,4636114,0.74,6805985,2660117,2745877,5405994,681,858
2021,Iowa,1162431,49.56,1182924,50.44,2345355,0.62,3193079,1268351,1274386,2542737,735,922
2021,Kansas,1036906,49.62,1052801,50.38,2089707,0.81,2934582,1152577,1161063,2313640,712,903
2021,Kentucky,1459636,48.98,1520695,51.02,2980331,0.69,4509394,1773504,1838532,3612036,661,825
2021,Louisiana,1647916,47.94,1789817,52.06,3437733,0.92,4624047,1775045,1888187,3663232,743,938
2021,Maine,522294,49.43,534241,50.57,1056535,0.76,1372247,563598,588554,1152152,770,917
2021,Maryland,2196521,49.47,2243236,50.53,4439757,0.92,6165129,2386107,2573233,4959340,720,895
2021,Massachusetts,2406983,49.12,2492948,50.88,4899931,0.95,6984723,2800726,2989498,5790224,702,846
2021,Michigan,3956081,49.56,4026390,50.44,7982471,0.85,10050811,4010611,4147379,8157990,794,978
2021,Minnesota,2083404,50.28,2059868,49.72,4143272,0.75,5707390,2265112,2278430,4543542,726,912
2021,Mississippi,958185,47.14,1074590,52.86,2032775,0.86,2949965,1124147,1215162,2339309,689,869
2021,Missouri,2082936,48.72,2192292,51.28,4275228,0.76,6168187,2417348,2527853,4945201,693,865
2021,Montana,436572,50.96,420124,49.04,856696,0.4,1104271,452458,444124,896582,776,956
2021,Nebraska,720131,50.05,718711,49.95,1438842,0.76,1963692,767214,768918,1536132,733,937
2021,Nevada,1098288,51.07,1052419,48.93,2150707,0.8,3143991,1267418,1257923,2525341,684,852
2021,New Hampshire,594386,50.59,580440,49.41,1174826,0.84,1388992,578417,586926,1165343,846,1008
2021,New Jersey,3184650,49.28,3277300,50.72,6461950,1.05,9267130,3650454,3835390,7485844,697,863
2021,New Mexico,726598,49.19,750615,50.81,1477213,0.82,2115877,840652,859276,1699928,698,869
2021,New York,6121887,51.54,5757170,48.46,11879057,1.27,19835913,7832814,8365684,16198498,599,733
2021,North Carolina,3730685,48.04,4034424,51.96,7765109,0.91,10551162,4119802,4401555,8521357,736,911
2021,North Dakota,282693,51.42,267028,48.58,549721,0.61,774948,313199,295416,608615,709,903
2021,Ohio,4052827,48.93,4230719,51.07,8283546,0.77,11780017,4636300,4845793,9482093,703,874
2021,Oklahoma,1207333,46.48,1390108,53.52,2597441,0.78,3986639,1548148,1586806,3134954,652,829
2021,Oregon,1496835,49.4,1533077,50.6,3029912,0.77,4246155,1727165,1759173,3486338,714,869
2021,Pennsylvania,4498723,49.44,4599847,50.56,9098570,0.84,12964056,5193748,5416650,10610398,702,858
2021,Rhode Island,367512,48.71,386995,51.29,754507,0.96,1095610,443238,469200,912438,689,827
2021,South Carolina,1899200,47.59,2091709,52.41,3990909,0.85,5190705,2020437,2183131,4203568,769,949
2021,South Dakota,339515,50.59,331634,49.41,671149,0.48,895376,354392,345037,699429,750,960
2021,Tennessee,2405407,48.02,2604290,51.98,5009697,0.76,6975218,2723603,2889893,5613496,718,892
2021,Texas,9054033,49.48,9243867,50.52,18297900,0.81,29527941,11359426,11555887,22915313,620,799
2021,Utah,1112563,50.46,1094645,49.54,2207208,0.81,3337975,1260547,1241728,2502275,675,900
2021,Vermont,233065,49.63,236559,50.37,469624,0.78,645570,268067,275221,543288,727,864
2021,Virginia,2849289,48.19,3063355,51.81,5912644,0.79,8642274,3423870,3552485,6976355,684,848
2021,Washington,2991264,50.97,2877245,49.03,5868509,0.76,7738692,3135324,3115088,6250412,758,939
2021,West Virginia,560853,49.27,577437,50.73,1138290,0.95,1782959,726859,740214,1467073,638,776
2021,Wisconsin,2166290,49.9,2174561,50.1,4340851,0.77,5895908,2379480,2395450,4774930,736,909
2021,Wyoming,220199,51.15,210273,48.85,430472,0.5,578803,236104,225857,461961,744,932
2020,Alabama,1956800,48.4,2086100,51.6,4042900,0.78,4921532,1828314,2005935,3917625,821,1032
2020,Alaska,271451,52.32,247421,47.68,518872,0.67,731158,263418,289009,553317,710,938
2020,Arizona,2877305,50.64,2804190,49.36,5681495,0.96,7421401,2753727,3021251,5662328,766,1003
2020,Arkansas,1057402,49.09,1096527,50.91,2153929,0.75,3030522,1111417,1219391,2322502,711,927
2020,California,13730114,50.84,13275188,49.16,27005302,0.88,39368078,14580188,15996656,30465205,686,886
2020,Colorado,2099231,48.83,2200216,51.17,4299447,0.8,5807719,2173275,2384409,4568613,740,941
2020,Connecticut,1241291,49.48,1267379,50.52,2508670,0.87,3557006,1353291,1484763,2875887,705,872
2020,Delaware,403856,48.7,425370,51.3,829226,0.82,986809,372960,409193,795090,840,1043
2020,Dist. of Col.,256577,49.26,264288,50.74,520865,1.68,712816,278105,305123,544215,731,957
2020,Florida,7755134,49.35,7960239,50.65,15715373,0.9,21733312,8336351,9146229,17491848,723,898
2020,Georgia,3583553,47.64,3938197,52.36,7521750,0.89,10710017,3914869,4295198,8275264,702,909
2020,Hawaii,470671,51.07,450876,48.93,921547,0.74,1407006,529856,581332,1137154,655,810
2020,Idaho,651522,50.69,633809,49.31,1285331,0.66,1826913,656067,719803,1431897,704,898
2020,Illinois,4059059,49.35,4166239,50.65,8225298,0.78,12587530,4677568,5131994,9868245,653,834
2020,Indiana,2223358,49.05,2309350,50.95,4532708,0.73,6754953,2474078,2714436,5218979,671,869
2020,Iowa,1124007,49.54,1144909,50.46,2268916,0.61,3163561,1162531,1275471,2456703,717,924
2020,Kansas,969756,48.38,1034546,51.62,2004302,0.75,2913805,1057177,1159882,2231518,688,898
2020,Kentucky,1425392,49.06,1480240,50.94,2905632,0.68,4477251,1657170,1818164,3493482,649,832
2020,Louisiana,1642187,48.06,1774461,51.94,3416648,0.92,4645318,1699467,1864571,3541104,736,965
2020,Maine,517826,49.42,530067,50.58,1047893,0.94,1350141,525462,576511,1120338,776,935
2020,Maryland,2211930,49.66,2242336,50.34,4454266,1.08,6055802,2251571,2470312,4801825,736,928
2020,Massachusetts,2432884,49.24,2507489,50.76,4940373,0.98,6893574,2647427,2904624,5622590,717,879
2020,Michigan,3458255,49.22,3568395,50.78,7026650,0.84,9966555,3738284,4101458,7897432,705,890
2020,Minnesota,2055978,50.27,2034286,49.73,4090264,0.76,5657342,2077163,2278960,4389823,723,932
2020,Mississippi,951163,47.15,1065948,52.85,2017111,0.98,2966786,1084163,1189490,2257130,680,894
2020,Missouri,2073027,48.67,2186645,51.33,4259672,0.78,6151548,2279340,2500779,4783630,692,890
2020,Montana,419495,50.74,407259,49.26,826754,0.44,1080577,405738,445156,869201,765,951
2020,Nebraska,720896,50.1,717925,49.9,1438821,0.75,1937552,697393,765144,1480808,743,972
2020,Nevada,1051969,51.16,1004425,48.84,2056394,0.82,3138259,1163807,1276872,2445243,655,841
2020,New Hampshire,528941,49.88,531440,50.12,1060381,0.78,1366275,530787,582354,1132616,776,936
2020,New Jersey,3057310,49.07,3173602,50.93,6230912,1.04,8882371,3312989,3634847,7244002,701,860
2020,New Mexico,724366,49.17,748853,50.83,1473219,0.82,2106319,779071,854757,1642656,699,897
2020,New York,5924977,48.59,6269383,51.41,12194360,1.08,19336776,7318704,8029718,15722590,631,776
2020,North Carolina,3680093,48.19,3957307,51.81,7637400,0.91,10600823,3955093,4339330,8249659,720,926
2020,North Dakota,278051,51.59,260955,48.41,539006,0.61,765309,278321,305359,589247,704,915
2020,Ohio,3973371,49.05,4126902,50.95,8100273,0.75,11693217,4350941,4773635,9174388,693,883
2020,Oklahoma,1184969,46.46,1365591,53.54,2550560,0.69,3980783,1443513,1583750,3025109,641,843
2020,Oregon,1450641,49.26,1494187,50.74,2944828,0.77,4241507,1612059,1768670,3384804,694,870
2020,Pennsylvania,4417594,49.47,4513083,50.53,8930677,0.84,12783254,4845861,5316636,10290047,699,868
2020,Rhode Island,357247,48.82,374468,51.18,731715,0.86,1057125,407828,447448,886783,692,825
2020,South Carolina,1861511,47.66,2044400,52.34,3905911,0.91,5218040,1955089,2145026,4073613,749,959
2020,South Dakota,332249,50.49,325842,49.51,658091,0.52,892717,321502,352736,674947,737,975
2020,Tennessee,2344543,48.07,2532725,51.93,4877268,0.86,6886834,2562255,2811178,5434544,708,897
2020,Texas,8745910,49.5,8921129,50.5,17667039,0.78,29360759,10454963,11470664,22052508,602,801
2020,Utah,1083825,50.42,1065941,49.58,2149766,0.9,3249879,1106551,1214052,2390732,661,899
2020,Vermont,228021,49.48,232850,50.52,460871,0.76,623347,243273,266908,528594,739,872
2020,Virginia,2848122,48.19,3061594,51.81,5909716,0.79,8590563,3206324,3517819,6757448,688,875
2020,Washington,2965355,51.02,2847145,48.98,5812500,0.81,7693612,2874290,3153528,6062570,755,959
2020,West Virginia,543225,49.3,558551,50.7,1101775,0.68,1784787,681172,747348,1423928,617,774
2020,Wisconsin,2154013,49.91,2161879,50.09,4315892,0.77,5832655,2181118,2393013,4621152,740,934
2020,Wyoming,218634,51.17,208599,48.83,427233,0.52,582328,214213,235024,446379,734,957
2019,Alabama,1949470,48.42,2076681,51.58,4026151,0.78,4903185,1878083,2060539,3938622,821,1022
2019,Alaska,277367,52.4,251914,47.6,529281,0.68,731545,298631,271684,570315,724,928
2019,Arizona,2685714,50.02,2683496,49.98,5369210,0.91,7278717,2875126,2948316,5823442,738,922
2019,Arkansas,1057402,49.09,1096527,50.91,2153929,0.75,3017804,1163461,1233068,2396529,714,899
2019,California,13847935,50.89,13365715,49.11,27213650,0.89,39512223,15608250,16008558,31616808,689,861
2019,Colorado,2089963,49.35,2145421,50.65,4235384,0.79,5758736,2331361,2311510,4642871,735,912
2019,Connecticut,1292522,49.56,1315539,50.44,2608061,0.91,3565287,1414937,1514410,2929347,732,890
2019,Delaware,395860,48.72,416669,51.28,812529,0.8,973764,379615,413801,793416,834,1024
2019,Dist. of Col.,263786,49.25,271793,50.75,535579,1.73,705749,274936,312920,587856,759,911
2019,Florida,7645376,49.13,7915252,50.87,15560628,0.89,21477737,8580965,9143783,17724748,725,878
2019,Georgia,3466599,47.74,3794667,52.26,7261266,0.86,10617423,4032512,4369708,8402220,684,864
2019,Hawaii,483886,51.3,459287,48.7,943173,0.75,1415872,570028,576986,1147014,666,822
2019,Idaho,633934,50.61,618601,49.39,1252535,0.64,1787065,693061,696711,1389772,701,901
2019,Illinois,4223370,49.41,4323562,50.59,8546932,0.81,12671821,4955735,5227538,10183273,674,839
2019,Indiana,2253445,49.1,2335960,50.9,4589405,0.74,6732219,2609632,2734641,5344273,682,859
2019,Iowa,1127259,49.56,1147172,50.44,2274431,0.61,3155070,1240941,1268912,2509853,721,906
2019,Kansas,1070835,49.71,1083425,50.29,2154260,0.81,2913314,1133837,1158213,2292050,739,940
2019,Kentucky,1486939,49.07,1543390,50.93,3030329,0.71,4467673,1744943,1832711,3577654,678,847
2019,Louisiana,1649791,48.03,1785377,51.97,3435168,0.92,4648794,1773510,1906236,3679746,739,934
2019,Maine,517562,49.47,528567,50.53,1046129,0.94,1344212,546182,579508,1125690,778,929
2019,Maryland,2216568,49.66,2247294,50.34,4463862,1.08,6045680,2324575,2536069,4860644,738,918
2019,Massachusetts,2443091,49.35,2506965,50.65,4950056,0.98,6892503,2738158,2965273,5703431,718,868
2019,Michigan,3519347,49.28,3622147,50.72,7141494,0.85,9986857,3951566,4145351,8096917,715,882
2019,Minnesota,2146519,50.23,2126508,49.77,4273027,0.8,5639632,2218030,2262905,4480935,758,954
2019,Mississippi,974505,47.35,1083531,52.65,2058036,1,2976149,1126934,1229872,2356806,692,873
2019,Missouri,2078561,48.63,2195828,51.37,4274389,0.78,6137428,2390804,2531010,4921814,696,868
2019,Montana,411940,50.74,399911,49.26,811851,0.43,1068778,433730,431781,865511,760,938
2019,Nebraska,717199,50.13,713619,49.87,1430818,0.74,1934408,749051,761625,1510676,740,947
2019,Nevada,1050751,51.15,1003670,48.85,2054421,0.81,3080156,1229823,1234019,2463842,667,834
2019,New Hampshire,604347,50.56,590864,49.44,1195211,0.88,1359711,559694,577052,1136746,879,1051
2019,New Jersey,3136876,49.19,3240537,50.81,6377413,1.07,8882190,3466571,3703310,7169881,718,889
2019,New Mexico,713944,49.25,735767,50.75,1449711,0.81,2096829,823262,852901,1676163,691,865
2019,New York,5924977,48.59,6269383,51.41,12194360,1.08,19453561,7620683,8260724,15881407,627,768
2019,North Carolina,3678261,48.27,3941740,51.73,7620001,0.91,10488084,4061370,4389832,8451202,727,902
2019,North Dakota,287069,51.63,268995,48.37,556064,0.63,762062,306862,292560,599422,730,928
2019,Ohio,3896574,48.51,4136218,51.49,8032792,0.74,11689100,4565092,4843997,9409089,687,854
2019,Oklahoma,1169289,46.35,1353381,53.65,2522670,0.68,3956971,1527522,1582692,3110214,638,811
2019,Oregon,1478808,49.26,1523206,50.74,3002014,0.78,4217737,1697063,1751829,3448892,712,870
2019,Pennsylvania,4448102,49.49,4539574,50.51,8987676,0.84,12801989,5083987,5391020,10475007,702,858
2019,Rhode Island,371462,48.81,389584,51.19,761046,0.89,1059361,423661,456039,879700,718,865
2019,South Carolina,1852116,47.76,2025852,52.24,3877968,0.9,5148714,1991111,2171169,4162280,753,932
2019,South Dakota,327435,50.48,321228,49.52,648663,0.52,884659,346867,343114,689981,733,940
2019,Tennessee,2300894,48.07,2486079,51.93,4786973,0.85,6829174,2648523,2841633,5490156,701,872
2019,Texas,8822318,49.5,9000442,50.5,17822760,0.79,28995881,11048784,11372394,22421178,615,795
2019,Utah,1069204,50.41,1051895,49.59,2121099,0.89,3205958,1190031,1188326,2378357,662,892
2019,Vermont,234478,49.61,238155,50.39,472633,0.78,623989,256691,267221,523912,757,902
2019,Virginia,2836566,48.17,3051630,51.83,5888196,0.78,8535519,3355649,3528583,6884232,690,855
2019,Washington,2912919,51,2798217,49,5711136,0.79,7614893,3052263,3079405,6131668,750,931
2019,West Virginia,557755,49.34,572635,50.66,1130389,0.69,1792147,724833,749782,1474615,631,767
2019,Wisconsin,2143932,49.9,2152714,50.1,4296646,0.77,5822434,2325066,2378336,4703402,738,914
2019,Wyoming,216939,51.15,207176,48.85,424115,0.51,578759,233372,226267,459639,733,923
2018,Alabama,1939120,48.49,2059937,51.51,3999057,0.77,4887871,1873206,2051459,3924665,818,1019
2018,Alaska,281297,52.48,254736,47.52,536033,0.69,737438,300173,272699,572872,727,936
2018,Arizona,2645777,50.06,2639193,49.94,5284970,0.92,7171646,2822894,2893459,5716353,737,925
2018,Arkansas,1052671,49.07,1092663,50.93,2145334,0.77,3013825,1160540,1229433,2389973,712,898
2018,California,13755501,50.87,13283899,49.13,27039400,0.89,39557045,15584687,15992312,31576999,684,856
2018,Colorado,2194476,51.7,2050237,48.3,4244713,0.8,5695564,2293825,2278929,4572754,745,928
2018,Connecticut,1290562,49.53,1315050,50.47,2605612,0.91,3572665,1415760,1514580,2930340,729,889
2018,Delaware,382824,48.67,403680,51.33,786504,0.78,967171,376776,410009,786785,813,1000
2018,Dist. of Col.,260438,49.35,267293,50.65,527731,1.72,702455,274188,311379,585567,751,901
2018,Florida,7550785,49.13,7817910,50.87,15368695,0.89,21299325,8501791,9057134,17558925,722,875
2018,Georgia,3423998,47.76,3744735,52.24,7168733,0.86,10519475,3987512,4317489,8305001,681,863
2018,Hawaii,488143,51.47,460274,48.53,948417,0.76,1420491,571073,576941,1148014,668,826
2018,Idaho,633934,50.61,618601,49.39,1252535,0.67,1754208,677163,681210,1358373,714,922
2018,Illinois,4218990,48.41,4495798,51.59,8714788,0.83,12741080,4972378,5245621,10217999,684,853
2018,Indiana,2253445,49.1,2335960,50.9,4589405,0.74,6691878,2590051,2715093,5305144,686,865
2018,Iowa,1119487,49.53,1140784,50.47,2260271,0.62,3156145,1238894,1268380,2507274,716,901
